iter	Passed	Remaining
905	18925	1963
906	18945	1942
907	18964	1921
908	18984	1900
909	19001	1879
910	19021	1858
911	19042	1837
912	19063	1816
913	19086	1795
914	19109	1775
915	19130	1754
916	19149	1733
917	19168	1712
918	19189	1691
919	19208	1670
920	19231	1649
921	19252	1628
922	19274	1607
923	19291	1586
924	19310	1565
925	19329	1544
926	19351	1523
927	19370	1502
928	19391	1482
929	19416	1461
930	19435	1440
931	19458	1419
932	19478	1398
933	19497	1377
934	19518	1356
935	19539	1336
936	19557	1314
937	19576	1293
938	19600	1273
939	19619	1252
940	19637	1231
941	19656	1210
942	19677	1189
943	19699	1168
944	19716	1147
945	19737	1126
946	19763	1106
947	19784	1085
948	19801	1064
949	19819	1043
950	19836	1022
951	19856	1001
952	19875	980
953	19893	959
954	19911	938
955	19929	917
956	19947	896
957	19966	875
958	19989	854
959	20010	833
960	20032	812
961	20051	792
962	20071	771
963	20091	750
964	20113	729
965	20134	708
966	20155	687
967	20175	666
968	20194	646
969	20215	625
970	20234	604
971	20256	583
972	20274	562
973	20293	541
974	20312	520
975	20330	499
976	20350	479
977	20367	458
978	20390	437
979	20412	416
980	20431	395
981	20449	374
982	20472	354
983	20492	333
984	20513	312
985	20535	291
986	20555	270
987	20575	249
988	20594	229
989	20613	208
990	20631	187
991	20649	166
992	20668	145
993	20686	124
994	20704	104
995	20726	83
996	20744	62
997	20762	41
998	20781	20
999	20800	0
